date,open,high,low,close,volume
2024-01-02,5.95,5.98,5.89,5.9,179312
2024-01-03,5.89,5.96,5.83,5.9,190380
2024-01-04,5.93,5.98,5.85,5.95,187799
2024-01-05,5.95,6.0,5.84,5.84,210078
2024-01-08,5.83,5.83,5.62,5.62,179984
2024-01-09,5.62,5.74,5.61,5.67,122330
2024-01-10,5.66,5.69,5.47,5.47,205279
2024-01-11,5.46,5.56,5.43,5.56,133070
2024-01-12,5.53,5.57,5.47,5.49,110596
2024-01-15,5.5,5.53,5.43,5.46,102845
2024-01-16,5.45,5.62,5.4,5.62,260479
2024-01-17,5.6,5.89,5.58,5.7,337311
2024-01-18,5.66,5.9,5.6,5.88,319344
2024-01-19,5.84,5.98,5.76,5.88,238768
2024-01-22,5.82,5.87,5.41,5.48,255208
2024-01-23,5.44,5.6,5.35,5.48,152884
2024-01-24,5.5,5.56,5.25,5.53,179390
2024-01-25,5.49,5.85,5.45,5.8,254670
2024-01-26,5.79,5.82,5.68,5.7,123306
2024-01-29,5.69,5.74,5.51,5.52,141082
2024-01-30,5.48,5.61,5.42,5.45,106322
2024-01-31,5.32,5.33,4.91,4.91,200008
2024-02-01,4.59,4.62,4.42,4.42,624940
2024-02-02,4.35,4.45,4.03,4.2,395001
2024-02-05,4.2,4.23,3.78,3.84,442673
2024-02-06,3.82,4.2,3.7,4.12,360777
2024-02-07,4.12,4.43,4.12,4.26,405480
2024-02-08,4.28,4.59,4.28,4.4,511999
2024-02-19,4.47,4.53,4.34,4.45,409375
2024-02-20,4.4,4.53,4.37,4.52,288246
2024-02-21,4.48,4.69,4.44,4.56,306138
2024-02-22,4.56,4.73,4.54,4.73,280733
2024-02-23,4.75,4.88,4.7,4.88,284751
2024-02-26,4.87,5.02,4.82,4.91,315587
2024-02-27,4.89,5.18,4.86,5.18,331777
2024-02-28,5.24,5.32,4.67,4.73,547082
2024-02-29,4.65,4.96,4.63,4.94,325737
2024-03-01,4.91,5.03,4.9,5.03,251497
2024-03-04,5.02,5.08,4.92,5.01,231043
2024-03-05,4.98,5.0,4.9,4.92,221408
2024-03-06,4.91,4.96,4.81,4.92,217100
2024-03-07,4.9,4.95,4.76,4.77,245072
2024-03-08,4.79,4.91,4.73,4.89,282329
2024-03-11,4.89,4.92,4.81,4.91,279141
2024-03-12,4.92,4.97,4.86,4.93,308323
2024-03-13,4.95,5.01,4.86,4.96,325460
2024-03-14,4.94,4.96,4.8,4.87,253274
2024-03-15,4.86,4.93,4.81,4.93,205233
2024-03-18,4.98,5.01,4.93,5.01,245390
2024-03-19,5.03,5.13,4.97,5.06,305728
2024-03-20,5.08,5.14,5.06,5.13,244931
2024-03-21,5.13,5.16,5.07,5.1,202842
2024-03-22,5.07,5.1,4.91,4.98,260711
2024-03-25,4.99,5.07,4.85,4.85,251460
2024-03-26,4.84,4.88,4.68,4.74,255046
2024-03-27,4.72,4.74,4.45,4.46,297813
2024-03-28,4.44,4.73,4.44,4.66,362875
2024-03-29,4.67,4.88,4.6,4.85,297319
2024-04-01,4.88,4.95,4.85,4.92,286331
2024-04-02,4.97,4.98,4.82,4.85,224812
2024-04-03,4.84,4.84,4.68,4.71,278374
2024-04-08,4.24,4.24,4.24,4.24,141665
2024-04-09,3.82,4.0,3.82,3.98,1376242
2024-04-10,3.96,4.01,3.81,3.85,1278734
2024-04-11,3.81,4.13,3.78,3.93,1263484
2024-04-12,3.89,4.05,3.88,3.97,833078
2024-04-15,3.92,3.98,3.66,3.74,932412
2024-04-16,3.71,3.73,3.37,3.37,981161
2024-04-17,3.71,3.71,3.71,3.71,520865
2024-04-18,3.85,4.07,3.78,3.95,1976962
2024-04-19,3.88,3.99,3.77,3.79,1164597
2024-04-22,3.76,3.77,3.56,3.66,676496
2024-04-23,3.68,3.73,3.65,3.67,432917
2024-04-24,3.66,3.82,3.64,3.82,527154
2024-04-25,3.81,3.81,3.73,3.75,419851
2024-04-26,3.75,3.98,3.73,3.93,756744
2024-04-29,4.04,4.2,4.02,4.17,909942
2024-04-30,4.2,4.32,4.12,4.25,967036
2024-05-06,4.32,4.54,4.31,4.44,933954
2024-05-07,4.45,4.47,4.32,4.37,721913
2024-05-08,4.36,4.37,4.21,4.22,557143
2024-05-09,4.24,4.3,4.24,4.27,416716
2024-05-10,4.26,4.27,4.16,4.2,412943
2024-05-13,4.19,4.27,4.07,4.21,511197
2024-05-14,4.2,4.28,4.16,4.19,332794
2024-05-15,4.17,4.46,4.15,4.29,812263
2024-05-16,4.29,4.39,4.29,4.32,455563
2024-05-17,4.34,4.43,4.3,4.4,512105
2024-05-20,4.38,4.39,4.27,4.33,503381
2024-05-21,4.27,4.35,4.25,4.28,321357
2024-05-22,4.26,4.32,4.24,4.26,314909
2024-05-23,4.26,4.28,4.15,4.17,297425
2024-05-24,4.17,4.23,4.09,4.1,274700
2024-05-27,4.1,4.14,4.02,4.13,364073
2024-05-28,4.12,4.17,4.05,4.08,261804
2024-05-29,4.08,4.15,4.02,4.05,255724
2024-05-30,4.03,4.13,3.97,4.08,310894
2024-05-31,4.06,4.19,4.05,4.12,287619
2024-06-03,4.12,4.16,3.97,4.03,385826
2024-06-04,4.03,4.03,3.91,3.97,301316
2024-06-05,3.96,4.02,3.92,3.93,258562
2024-06-06,3.95,3.97,3.78,3.81,361360
2024-06-07,3.85,3.9,3.75,3.84,323633
2024-06-11,3.83,3.87,3.72,3.85,245287
2024-06-12,3.84,3.96,3.84,3.92,258875
2024-06-13,3.93,3.97,3.9,3.92,221266
2024-06-14,3.94,3.99,3.86,3.98,249988
2024-06-17,3.97,4.08,3.95,4.07,295777
2024-06-18,4.05,4.19,4.04,4.17,310086
2024-06-19,4.17,4.23,4.14,4.18,286690
2024-06-20,4.17,4.18,4.0,4.01,306505
2024-06-21,4.01,4.03,3.93,3.97,234895
2024-06-24,3.94,3.97,3.82,3.83,291712
2024-06-25,3.82,3.86,3.69,3.73,301274
2024-06-26,3.73,4.0,3.69,3.99,362210
2024-06-27,3.95,4.01,3.89,3.9,253660
2024-06-28,3.91,4.2,3.88,4.07,530025
2024-07-01,4.09,4.11,3.97,4.05,371177
2024-07-02,4.07,4.16,4.03,4.1,397708
2024-07-03,4.1,4.13,4.07,4.08,279339
2024-07-04,4.07,4.1,3.97,3.99,320121
2024-07-05,3.96,4.05,3.92,4.03,247393
2024-07-08,4.01,4.04,3.87,3.88,285095
2024-07-09,3.87,4.05,3.85,4.03,375465
2024-07-10,4.03,4.14,4.01,4.09,325742
2024-07-11,4.17,4.21,4.12,4.2,357395
2024-07-12,4.2,4.2,4.12,4.13,271614
2024-07-15,4.15,4.19,4.07,4.11,353126
2024-07-16,4.12,4.18,4.07,4.15,348871
2024-07-17,4.16,4.18,4.05,4.06,314002
2024-07-18,4.03,4.05,3.86,3.97,392411
2024-07-19,3.96,4.0,3.91,3.96,248262
2024-07-22,3.94,4.0,3.9,3.95,261079
2024-07-23,3.95,3.99,3.86,3.88,303012
2024-07-24,3.84,3.92,3.81,3.83,274437
2024-07-25,3.79,3.85,3.71,3.8,268600
2024-07-26,3.8,3.91,3.79,3.9,275640
2024-07-29,3.92,3.96,3.85,3.92,220287
2024-07-30,3.93,4.06,3.9,4.04,337293
2024-07-31,4.08,4.18,4.01,4.17,391342
2024-08-01,4.14,4.22,4.13,4.16,339975
2024-08-02,4.14,4.18,4.04,4.05,307846
2024-08-05,4.04,4.07,3.87,3.88,397560
2024-08-06,3.91,3.95,3.88,3.94,298771
2024-08-07,4.02,4.12,3.94,4.07,608724
2024-08-08,4.06,4.07,3.93,3.97,441281
2024-08-09,3.99,4.03,3.95,3.95,264663
2024-08-12,3.95,3.95,3.85,3.88,284124
2024-08-13,3.86,3.93,3.85,3.92,213086
2024-08-14,3.93,3.96,3.88,3.89,357160
2024-08-15,3.89,4.04,3.84,3.98,430453
2024-08-16,3.98,4.02,3.97,3.99,268432
2024-08-19,4.01,4.07,3.96,4.03,275308
2024-08-20,4.04,4.05,3.9,3.91,290716
2024-08-21,3.88,3.94,3.83,3.85,279829
2024-08-22,3.87,3.92,3.79,3.8,325537
2024-08-23,3.79,3.86,3.76,3.83,247782
2024-08-26,3.82,3.88,3.75,3.86,222529
2024-08-27,3.85,3.85,3.73,3.75,271453
2024-08-28,3.73,3.81,3.7,3.77,217974
2024-08-29,3.75,3.89,3.73,3.87,292979
2024-08-30,3.85,4.03,3.85,3.97,468360
2024-09-02,3.96,3.99,3.85,3.86,300841
2024-09-03,3.88,3.92,3.81,3.87,252310
2024-09-04,3.85,3.88,3.81,3.83,210767
2024-09-05,3.82,3.91,3.82,3.88,198922
2024-09-06,3.9,3.9,3.78,3.79,241831
2024-09-09,3.78,3.8,3.72,3.76,239427
2024-09-10,3.77,3.8,3.66,3.78,364929
